account_id,transaction_date,amount,transaction_type,description
1,2024-10-19 17:20:14,14473.16,deposit,Salary payment
1,2024-10-19 23:15:19,7691.36,deposit,Salary payment
2,2024-10-19 12:21:19,-6051.69,withdrawal,Groceries
2,2024-10-19 12:45:13,7771.75,deposit,Project payment
1,2024-10-19 11:27:48,16843.17,deposit,Salary payment
1,2024-10-19 10:18:20,20586.65,deposit,Project payment
1,2024-10-19 13:15:05,4149.6,deposit,Salary payment
1,2024-10-19 12:17:54,1282.76,deposit,Project payment
2,2024-10-19 23:44:37,20486.59,deposit,Salary payment
1,2024-10-19 11:35:45,999.91,deposit,Salary payment
2,2024-10-19 05:27:33,17579.09,deposit,Project payment
2,2024-10-19 13:10:11,-4262.31,withdrawal,ATM cash withdrawal
2,2024-10-19 09:48:11,-3568.34,withdrawal,ATM cash withdrawal
2,2024-10-19 11:12:18,-8314.24,withdrawal,Groceries
1,2024-10-19 07:19:19,14450.19,deposit,Project payment
1,2024-10-19 07:06:04,-536.81,withdrawal,Groceries
2,2024-10-19 20:51:03,-4192.24,withdrawal,Groceries
2,2024-10-19 08:19:15,15182.89,deposit,Project payment
2,2024-10-19 15:13:19,-463.01,withdrawal,ATM cash withdrawal
1,2024-10-19 02:33:27,-5673.23,withdrawal,ATM cash withdrawal
1,2024-10-19 10:02:20,3485.99,deposit,Salary payment
2,2024-10-19 11:44:04,-5959.82,withdrawal,Groceries
2,2024-10-19 03:02:06,5574.51,deposit,Project payment
2,2024-10-19 04:03:23,17945.12,deposit,Salary payment
2,2024-10-19 07:26:41,3480.75,deposit,Salary payment
2,2024-10-19 08:03:17,11056.25,deposit,Project payment
1,2024-10-19 05:16:26,-3757.51,withdrawal,Groceries
1,2024-10-19 17:37:03,10357.07,deposit,Salary payment
1,2024-10-19 03:43:47,23190.39,deposit,Salary payment
2,2024-10-19 18:38:06,-7720.06,withdrawal,Groceries
1,2024-10-19 06:38:23,14914.44,deposit,Salary payment
2,2024-10-19 16:27:53,-1964.73,withdrawal,Groceries
1,2024-10-19 23:09:46,940.98,deposit,Project payment
2,2024-10-19 12:28:47,20462.07,deposit,Project payment
1,2024-10-19 14:11:12,11004.1,deposit,Project payment
2,2024-10-19 02:58:03,24550.48,deposit,Salary payment
1,2024-10-19 14:57:05,21054.91,deposit,Salary payment
1,2024-10-19 21:36:28,14548.81,deposit,Salary payment
2,2024-10-19 15:14:15,-9802.97,withdrawal,ATM cash withdrawal
2,2024-10-19 05:58:53,24694.26,deposit,Salary payment
1,2024-10-19 12:33:05,24355.19,deposit,Salary payment
2,2024-10-19 15:10:31,1675.22,deposit,Salary payment
2,2024-10-19 09:04:33,9816.69,deposit,Project payment
2,2024-10-19 21:07:53,11193.73,deposit,Salary payment
1,2024-10-19 05:54:11,-8546.51,withdrawal,Groceries
2,2024-10-19 06:21:32,3201.53,deposit,Project payment
2,2024-10-19 04:18:39,9153.48,deposit,Salary payment
2,2024-10-19 23:12:25,11764.7,deposit,Project payment
1,2024-10-19 21:35:25,23194.3,deposit,Salary payment
1,2024-10-19 05:25:47,12088.25,deposit,Project payment
2,2024-10-19 07:00:43,3347.74,deposit,Salary payment
1,2024-10-19 18:24:05,432.93,deposit,Salary payment
1,2024-10-19 11:53:38,-2603.89,withdrawal,Groceries
1,2024-10-19 21:07:33,9775.77,deposit,Project payment
2,2024-10-19 21:31:44,11566.05,deposit,Salary payment
2,2024-10-19 07:56:43,-1806.83,withdrawal,ATM cash withdrawal
2,2024-10-19 03:18:35,1415.25,deposit,Salary payment
2,2024-10-19 06:41:21,3293.86,deposit,Salary payment
1,2024-10-19 20:17:11,4767.35,deposit,Project payment
1,2024-10-19 07:38:54,-3643.77,withdrawal,ATM cash withdrawal
2,2024-10-19 11:47:12,8456.1,deposit,Salary payment
1,2024-10-19 17:40:32,1762.96,deposit,Project payment
2,2024-10-19 17:42:21,16547.43,deposit,Salary payment
2,2024-10-19 21:10:05,-702.51,withdrawal,Groceries
1,2024-10-19 06:25:20,6700.82,deposit,Project payment
2,2024-10-19 08:20:29,14895.44,deposit,Salary payment
1,2024-10-19 08:52:39,1881.28,deposit,Project payment
2,2024-10-19 15:04:23,-5186.04,withdrawal,Groceries
1,2024-10-19 15:47:14,11798.22,deposit,Salary payment
